Unit_Id,Is_Unit_Ambiguous,Is_Unit_State_Finalized,Trusted_Judgements,Last_Judgement_Date,Judgement_Remarks,Patient_Relation_Type,Percent_Patient_Relation_Type,Chemical_Id,Chemical_Name,Disease_Id,Disease_Name,Form_Sentence,Sentence_Id,Relation_Pair_Id,Patient_Relation_Type_Verification,Patient_Relation_Type_Verification_Reason
770955372,true,false,9,,,Direct,0.4463,D012701,5-HT,D011605,psychotic disorders,"These animal models were considered to reflect the positive symptoms of schizophrenia, and the above evidence suggests that altered 5-HT6 receptors are involved in the pathophysiology of psychotic disorders.",20705401_4,20705401_D012701_D011605,No Relation,"The receptors to 5-HT6 are related to psychotic disorders, not 5-HT itself."
770955373,true,false,11,,,No Relation,0.9181,D010396,D-penicillamine,D012594,localized scleroderma,"Case reports of 11 patients with severe, extensive localized scleroderma who were treated with D-penicillamine are summarized in this article.",2334179_3,2334179_D010396_D012594,No Relation,D-penicillamine was used to treat the patients.
770955374,true,false,12,,,No Relation,1,D015016,yohimbine,D019964,affective disorders,"METHOD: Six patients with either obsessive compulsive disorder, trichotillomania, anxiety, or affective disorders who suffered sexual side effects after treatment with serotonin reuptake blockers were given yohimbine on a p.r.n. basis in an open clinical trial.",1535072_4,1535072_D015016_D019964,No Relation,"The sentence says the affective disorders were caused by ""serotonin reuptake blockers"". Yohimbine was used to try and treat the patients."
770955375,true,false,11,,,No Relation,1,D002118,calcium,D013035,muscle spasms,"While severe hypokalemia may cause muscle weakness, severe hypomagnesemia is associated with muscle spasms and tetany which cannot be corrected by potassium and calcium supplementation alone (1,2).",8492347_2,8492347_D002118_D013035,No Relation,The sentence says calcium supplementation cannot be used to treat muscle spasms and tetany.
770955376,true,false,9,,,No Relation,0.8905,D064730,dexrazoxane,D006402,hematologic toxicity,Clinical trials in patients with brain metastases combining dexrazoxane and high doses of etoposide is ongoing with the aim of improving efficacy without aggravating hematologic toxicity.,15897593_8,15897593_D064730_D006402,No Relation,Dexrazoxane is being used to try and make the patients better without making hematologic toxicity worse. The sentence does not say that dexrazoxane causes hematologic toxicity.
770955377,true,false,15,,,No Relation,1,D003404,creatinine,D006973,hypertension,"We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline creatinine, low systolic blood pressure (<100 mm Hg), history of hypertension, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",10539815_7,10539815_D003404_D006973,No Relation,Creatinine and hypertension were studied as potential predictors of decreased renal (kidney) function.
770955378,true,false,14,,,No Relation,1,C071741,remifentanil,D010146,pain,"CONCLUSIONS: During induction of anaesthesia with TCI of propofol and remifentanil, a significant reduction in propofol infusion pain was achieved without significant complications by prior administration of remifentanil at a target Ce of 4 ng ml(-1).",18006530_11,18006530_C071741_D010146,No Relation,Remifentanil reduces the pain caused by propofol.
770955379,true,false,11,,,Direct,0.828,C012052,amisulpride,D006973,hypertensive,"CONCLUSIONS: As of March 24, 2005, this is the first reported case of amisulpride- and tiapride-induced hypertensive crisis in a patient with pheochromocytoma.",15811908_7,15811908_C012052_D006973,Direct,This sentence talks about the first case of amisulpride induced hypertensive crisis.
770955380,true,false,10,,,Direct,0.6143,D002211,capsaicin,D010146,painful,A small amount of capsaicin was administered subcutaneously in the right forehead to evoke a burning painful sensation in the first division of the trigeminal nerve.,9514561_4,9514561_D002211_D010146,Direct,"Capsaicin (the chemical that makes chilis spicy), when put under your skin, causes pain."
770955381,true,false,16,,,No Relation,1,D003630,daunorubicin,D000163,AIDS,We report a non-randomized Phase II clinical trial to assess the efficacy and safety of liposomal daunorubicin (DaunoXome) in the treatment of AIDS related Kaposi's sarcoma.,8305357_1,8305357_D003630_D000163,No Relation,Daunorubicin is being studied as a way to treat AIDS related Kaposi's sarcoma.
770955382,true,false,10,,,No Relation,1,D000241,adenosine,D059787|D059350,acute and chronic pain,"BACKGROUND: Preclinical studies of intrathecal adenosine suggest it may be effective in the treatment of acute and chronic pain in humans, and preliminary studies in volunteers and patients with a Swedish formulation of adenosine suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",11752998_1,11752998_D000241_D059787|D059350,No Relation,Adenosine might be able to treat acute and chronic pain.
770955383,true,false,9,,,Direct,0.8953,D010830,eserine,D015878,mydriasis,"On the other hand, mydriasis, tremor and clonic-tonic convulsions evoked by carbachol and eserine were not significantly changed by calcium chloride.",6892185_3,6892185_D010830_D015878,Direct,Eserine and carbachol cause mydriasis.
770955384,true,false,12,,,No Relation,1,C084178,telmisartan,D006973,hypertension,"Results of a comparative, phase III, 12-week, multicenter, prospective, randomized, double-blind assessment of the efficacy and tolerability of a fixed-dose combination of telmisartan and amlodipine versus amlodipine monotherapy in Indian adults with stage II hypertension.",18201582_0,18201582_C084178_D006973,No Relation,Telmisartan is being used in patients with stage II hypertension. It seems it is being tested as a treatment.
770955385,true,false,10,,,Direct,0.6858,D004329,droperidol,D004342,drug allergies,We report the case of a previously healthy 19-year-old man with no known drug allergies in whom angioedema with significant tongue swelling and protrusion developed within 10 minutes of the administration of a single IV dose of droperidol.,8599504_2,8599504_D004329_D004342,No Relation,"Droperidol causes angioedema and tongue swelling, but the patient had no prior drug allergies."
770955386,true,false,11,,,Direct,0.63,D006493,heparin,D006470,hemorrhage,"Clinical manifestations of this disorder include hemorrhage or, more frequently, thromboembolic events in patients receiving heparin.",6615052_2,6615052_D006493_D006470,Direct,"The sentence does not follow the ""[chemical]-induced [other disease] causes [highlighted disease]"" structure, so  heparin-induced [other disease] causes hemorrhage is wrong. Patients developed hemorrhage after receiving heparin, so the correct choice is ""heparin directly contributes to or causes hemorrhage."""
770955387,true,false,14,,,Direct,1,D014700,Verapamil,D001281,AF,"RESULTS: Verapamil caused AF promotion in six dogs, increasing mean duration of AF induced by burst pacing, from 8+/-4 s (mean+/-S.E.) to 95+/-39 s (P<0.01 vs. control) at a loading dose of 0.1 mg/kg and 228+/-101 s (P<0.0005 vs. control) at a dose of 0.2 mg/kg.",11282081_6,11282081_D014700_D001281,Direct,
770955388,true,false,20,,,Direct,1,D004298,dopamine,D002389,catatonia,"In the pinealectomized chick, pretreatment with dopamine increased the duration of catatonia (DOC) after ketamine, but pretreatment with norepinephrine did not.",6540303_2,6540303_D004298_D002389,Direct,"Dopamine made the duration of catatonia longer, which means dopamine made catatonia worse."
770955389,true,false,11,,,Direct,0.7389,D000082,acetaminophen,D064420,toxicity,"To further our understanding of the mechanism of CS cytoprotection, we examined in rats and mice the protective abilities of CS and the non-hydrolyzable ether form of CS, gamma-cholesteryloxybutyric acid, tris salt (CSE) against acetaminophen-, adriamycin-, carbon tetrachloride-, chloroform- and galactosamine-induced toxicity.",9067481_2,9067481_D000082_D064420,Direct,"Five chemicals, including acetaminophen, induced (caused) toxicity."
770955390,true,false,8,,,Direct,1,D016861,cyclooxygenase inhibitors,D020521,stroke,"Randomised clinical trials and observational studies have shown an increased risk of myocardial infarction, stroke, hypertension and heart failure during treatment with cyclooxygenase inhibitors.",16586083_1,16586083_D016861_D020521,Direct,Cyclooxygenase inhibitors cause four diseases including stroke.
